Kb,Ki,Kc,Ks,y_pred,y
0,0,0,3.180004862,NaN,25.34381238
1.29E-09,154.797952,0.000708371,0.006522983,25.45172336,25.45182589
7.21E-08,507.6325051,0.000742714,0.016011126,26.08806136,26.18955762
1.98E-08,4075.990191,0.00944833,0.004958823,26.77204009,26.8751598
3.61E-08,4588.293102,0.01029744,0.000443485,27.41407195,27.47244804
5.44E-08,1894.368745,0.006040059,0.006759772,27.52822195,27.11493418
4.86E-08,1586.492041,7.33E-05,0.001666195,27.16177089,26.24238593
2.28E-08,2.761094717,0.007742202,1.23E-06,26.90833516,26.19389838
2.00E-08,782.424484,0.000540241,0.002498037,27.01550097,26.93770237
1.29E-08,2084.493023,2.45E-10,3.24E-08,27.34239254,27.15388606
1.59E-08,65.69197189,0.004860627,0.000750672,27.10140672,26.65781975
3.14E-09,297.2574526,0.00253677,0.000908027,26.90321275,26.15168333
3.45E-09,150.1965154,0.001817977,8.47E-05,26.7164056,26.01672381
2.63E-11,6.158152498,0.002415703,0.000324787,26.69355353,26.48494289
7.67E-09,1.457838964,0.00079318,0.000440822,26.70087524,26.61824195
4.46E-09,158.8035558,3.04E-08,7.62E-09,26.612554,26.17735559
4.99E-09,117.6325086,1.49E-08,1.46E-08,26.55863186,25.61993491
4.59E-09,94.55715535,1.06E-08,1.37E-08,26.49969731,25.54635791
6.37E-09,523.5443604,3.18E-09,6.05E-09,26.82684564,26.16908274
2.00E-09,910.1378396,6.13E-09,4.24E-09,27.05085908,26.79420544
1.27E-08,430.1928827,4.39E-09,2.07E-09,27.02535275,27.20231333
4.41E-09,351.5177475,3.94E-09,4.53E-09,26.84171236,27.50850905
5.55E-09,332.1549468,1.49E-06,1.46E-08,26.9314501,27.71885912
1.72E-09,1420.249143,1.34E-08,0,27.83717178,28.47735305
1.55E-09,2398.218203,1.07E-08,8.84E-09,28.84029659,30.72387242
1.38E-10,477.5957402,2.44E-09,0.006995008,28.81675097,33.71376611
1.28E-08,5141.712307,6.53E-09,3.22E-09,32.09159722,35.89475497
1.19E-08,95.96625045,9.13E-09,0.014021866,31.92126721,37.77566221
1.21E-08,6067.414684,1.29E-07,5.10E-08,33.98966092,38.59818284
0,0,0,2.875913144,NaN,13.19722401
5.79E-09,241.5600535,0.000427383,1.32220324,13.22582905,13.22498863
8.13E-10,703.7309807,5.97E-06,0.034415753,13.66586416,13.74172755
1.50E-07,6841.552542,4.00E-09,5.44E-07,14.30875586,14.36752253
2.06E-08,718.5731527,0.011273546,0.024979747,14.40287057,14.2307838
9.29E-09,2525.893094,0.010499531,0.008417015,14.44001728,14.18940064
1.84E-08,298.2108057,0.025511188,0.001203737,14.59613302,14.48392444
4.25E-08,2664.564451,6.29E-05,0.00642402,14.7231791,14.58783034
7.81E-08,2820.75422,1.38E-09,2.60E-08,14.91549832,14.47653437
6.15E-09,1468.492412,0.006717257,0.004489367,14.76457966,14.45363654
1.17E-08,626.1660171,0.008511008,0.001167784,14.64711262,14.08485254
3.33E-08,552.9041801,2.67E-05,0.000519812,14.43688311,13.66971236
5.75E-09,20.38913547,0.002506266,0.000893249,14.20191507,13.41572629
2.08E-09,82.7196209,0.000748613,0.000225421,14.05911922,13.53895588
1.11E-08,170.6666473,7.08E-10,1.47E-08,14.11213804,13.85317172
1.65E-08,554.7710132,5.41E-09,8.62E-09,14.31596411,14.39374026
3.73E-10,1737.738609,3.61E-08,9.92E-08,14.57625485,14.59686085
9.27E-09,1089.005891,9.83E-10,9.77E-09,14.49807548,14.02984697
2.67E-09,23.76848014,0.000208704,8.94E-05,14.04958961,13.31639296
1.26E-09,17.14552012,2.94E-07,6.22E-08,13.98509798,13.41467781
9.12E-09,521.1925146,2.25E-09,7.06E-09,14.26865519,13.63708444
8.95E-09,334.840762,8.93E-09,8.18E-09,14.18767021,13.58755658
4.99E-10,337.6787108,2.61E-09,1.82E-08,14.08395773,13.8469549
1.35E-08,1349.454082,7.19E-09,4.36E-09,14.7462591,14.59127718
7.91E-10,724.2120779,2.86E-09,2.57E-08,14.34548115,14.77610753
4.99E-09,1115.34175,1.00E-09,7.74E-09,14.62739733,14.45452817
1.87E-08,174.5472169,8.07E-09,1.51E-09,14.41099597,14.20518608
4.92E-12,219.555903,0.00064036,9.94E-06,14.22008068,14.64090781
2.23E-09,1459.445166,1.00E-08,7.85E-09,14.89476257,15.08294978
2.59E-08,651.2856598,9.48E-09,4.56E-09,14.97069526,14.90198136
1.45E-08,685.8151371,1.42E-09,2.71E-09,14.79009914,14.10440585
1.08E-08,169.3642641,1.10E-07,6.01E-09,14.40466831,13.66372868
2.02E-09,407.6121954,5.87E-09,4.41E-08,14.39131835,14.09552023
9.12E-09,1186.702939,8.44E-09,3.23E-09,15.06191656,14.93647781
3.53E-09,392.149713,0.000132519,2.80E-06,14.50092343,15.04733959
2.48E-08,435.064027,5.82E-09,5.48E-08,15.0520373,15.21566187
2.97E-09,767.1130216,9.11E-09,2.58E-07,14.82126622,15.38126383
1.93E-09,48.71589095,3.68E-09,0.003489484,14.82988082,15.47579637
4.54E-08,217.2679516,9.30E-09,3.46E-09,15.66539907,15.87892231
1.66E-09,2005.006864,8.28E-09,9.26E-09,15.81484033,16.3994781
1.21E-08,2667.552253,9.23E-09,4.92E-09,16.63145042,17.51246307
1.24E-08,3.114019236,1.79E-09,0.005527183,15.86684981,18.49565527
0,0,0,2.463619783,NaN,6.955639559
-3.06E-08,-534.0527781,-0.007673354,0.000244912,6.900818119,6.900917108
-2.34E-08,-263.9755262,-0.011060914,8.06E-06,6.840855569,6.838666551
2.07E-09,100.9425047,0.001041676,0.001297872,6.944836791,7.014736911
1.61E-08,1194.335705,0.001159359,0.000168705,7.037566651,7.091058711
-3.61E-10,-10.46058121,-3.81E-05,0.006034747,7.012293887,6.954335239
1.88E-08,12.37092288,1.50E-05,0.005108479,7.072449095,7.115212393
4.98E-09,333.3757707,1.51E-08,0.015924876,7.305832467,7.559760459
9.20E-09,314.3110287,1.20E-07,0.020277886,7.50674874,7.678204737
7.45E-08,3404.454657,7.54E-09,5.61E-09,7.711260437,7.654944162
1.71E-08,2990.109665,0.006656364,1.45E-08,7.713693572,7.719379164
4.17E-08,1593.555179,0.000958344,0.00819051,7.79922754,7.7525397
2.85E-08,1854.672208,0.006866481,0.005757698,7.979537028,8.170990336
2.13E-08,7258.029558,4.36E-08,1.95E-08,8.450527775,9.04609386
2.02E-07,2.02331543,1.30E-08,0.001613781,8.830089221,9.416787
1.61E-08,6933.172795,0.006380743,1.39E-08,9.01095821,9.281077267
1.33E-07,4754.008892,8.28E-09,1.35E-08,9.4950421,9.186936122
1.03E-07,5524.162679,8.17E-08,4.06E-09,9.582800002,9.309227238
3.90E-08,1422.197872,2.02E-09,0.022300478,9.620231591,9.356970008
9.40E-08,5359.034843,1.14E-08,9.27E-09,9.847494996,9.191513348
5.65E-08,3993.408075,0.001305085,0.004949281,9.62705988,8.96793899
9.11E-08,3947.992625,1.07E-05,7.67E-09,9.837097933,8.876900461
4.20E-08,766.6274565,0.019357555,0.000249953,9.659639227,9.006390595
7.17E-08,4267.196139,1.70E-07,2.85E-08,9.938637456,9.091104141
9.96E-09,2273.669162,0.008902562,0.004954105,9.648396529,8.879092552
5.16E-08,1944.272994,0.001157041,0.004462773,9.628214951,8.790714079
7.50E-08,2913.179822,7.06E-09,1.35E-08,9.965364176,8.978788847
2.15E-08,2537.860413,0.000344547,0.005870742,9.622439317,9.067777512
6.03E-08,2318.492096,1.02E-07,5.11E-08,9.778604292,8.805805527
1.52E-08,682.2581515,0.012465128,0.000877852,9.602219923,8.863509808
6.41E-08,846.5960585,0.000755431,0.001195586,9.620683081,8.957958695
2.24E-08,2534.875441,1.38E-08,0.001359498,9.591130552,8.926211391
4.52E-09,595.8850514,0.0117837,0.000837472,9.571614411,8.847298133
1.76E-08,110.0428061,0.012443376,1.82E-07,9.575145201,8.997730509
3.93E-09,1907.777251,0.000250218,0.005237783,9.596475371,9.47289867
2.77E-08,1180.254087,0.002144642,0.002940638,9.77704384,10.32695045
7.65E-09,2524.553776,1.48E-08,0.00369939,9.896255098,10.41527582
2.38E-08,3848.859607,1.14E-09,6.30E-09,10.42259084,10.15145331
3.39E-08,93.52025039,0.010620611,0,10.13361744,10.14452852
2.23E-08,2899.15959,7.82E-09,4.55E-09,10.27167771,10.12248896
7.36E-08,1431.281588,4.45E-09,9.01E-09,10.85231101,9.753582901
4.08E-08,791.3905343,0.00230597,0.001474768,10.21914678,9.202943625
1.14E-08,1922.119305,9.21E-09,0.003639785,10.14560301,9.260621548
2.53E-08,1914.486108,3.97E-09,0.00068503,10.22686427,9.893521594
9.92E-09,479.4006302,0.010115581,0.000302176,10.31450554,10.43246199
1.01E-08,3472.798627,1.18E-08,1.61E-09,10.63005684,10.48848192
2.75E-08,404.5531138,0.007656765,0.0002033,10.52684954,10.82682576
2.37E-08,3998.429903,1.34E-08,1.34E-08,11.29976006,11.08815131
1.53E-08,146.3047474,0.012171731,0.000105504,10.77787061,11.2396826
7.19E-09,3499.610088,5.74E-09,1.40E-07,10.94273307,11.21177667
4.90E-09,69.19508494,0.014834756,0.000191864,11.02195139,11.41629614
2.67E-08,3660.780471,3.90E-07,0,11.70022302,11.84625618
6.21E-08,2271.738383,5.63E-09,1.01E-08,12.36013945,12.40135349
1.68E-08,74.98058711,0.001154824,0.009635911,11.79995736,12.79728707
6.41E-09,4331.904858,3.54E-06,2.51E-08,11.80526886,13.07795442
2.08E-08,554.4381851,9.22E-09,0.009523776,12.26439753,13.37087295
4.83E-08,3817.751893,1.96E-08,8.83E-09,13.26115646,13.63696027
1.48E-08,2389.179373,0.005593115,7.71E-09,12.49687476,13.7622874
5.39E-08,33.16321982,1.20E-08,0.007157489,13.11617739,13.79733711
4.46E-08,4869.090053,1.15E-09,5.60E-09,14.05802581,13.84977391
0,0,0,2.730114499,NaN,10.27211285
-3.54E-07,-102.2746753,-0.067437314,5.71E-06,9.620153723,9.597032874
-4.40E-07,-3342.924898,-0.04628045,0.01665035,9.095531495,9.122273022
-2.79E-07,-9708.059106,-0.063496173,0.063225868,8.910382338,9.037874441
-1.20E-07,-3214.129641,-0.019999374,0.024234304,9.259668205,9.767243562
-1.84E-09,-19.34604512,-0.002660394,0.003099645,9.663130228,10.18234486
7.82E-10,352.6506918,5.10E-09,0.015347704,10.04971752,10.43132501
2.11E-08,1075.737678,7.64E-09,0.017757633,10.40208889,10.7075819
5.46E-08,1315.60786,7.02E-09,0.014058808,10.6508676,10.79668292
2.47E-08,695.5162251,6.80E-09,0.018462065,10.7149245,10.50552035
-4.29E-10,-19.76796859,-0.000136185,0.02035619,10.66998621,10.26436
3.13E-09,136.5142418,0.001791484,0.015014648,10.66253812,10.3841092
3.25E-08,944.1418683,0.004389513,0.004331997,10.76720104,10.78452565
2.21E-08,358.5673201,0.006154895,0.006653876,10.83980658,10.73031768
7.13E-09,1033.801414,0.006611044,0.004621655,10.90545842,10.8038964
4.67E-08,2030.309607,8.95E-05,9.61E-06,11.08452795,11.32212479
4.72E-08,2442.905517,3.40E-09,5.77E-09,11.31172901,11.5655017
3.18E-08,1377.500414,0.000326094,0.008161182,11.46085637,11.64473923
1.04E-08,407.4266745,1.28E-08,0.015920561,11.6684999,11.75917074
4.16E-08,178.3708038,0.002445487,0.009381264,11.69982655,11.35759759
2.02E-08,1518.488551,0.004572416,0.003540866,11.69325543,11.27100179
3.83E-08,0.128162853,0.009373485,0.004135862,11.87762609,12.07142803
6.34E-08,0.000436455,3.41E-05,0.009512752,12.2205548,12.97823809
4.19E-08,4532.367689,4.28E-08,9.04E-08,12.8436923,13.61829334
2.00E-10,1047.960735,7.97E-09,0.018103165,13.02940382,13.79610965
4.76E-09,1331.064328,1.32E-08,0.017352326,13.30470297,13.66681054
2.06E-08,176.9960091,1.22E-08,0.01826664,13.61526998,13.59747571
1.01E-08,2956.362351,0.011135321,1.20E-08,13.60469467,13.74254158
1.05E-07,4.431257725,6.65E-09,0.006667256,13.98878628,13.92217785
1.49E-08,117.0882697,3.86E-09,0.01849232,14.28421033,14.00010723
2.06E-08,2.828992724,4.54E-06,0.017815464,14.47368153,14.05134274
5.62E-08,2020.726765,0.006578113,9.37E-09,14.42504918,14.29945025
9.11E-09,4457.159251,0.005506634,1.33E-08,14.55950434,14.86725836
6.41E-08,2571.846451,0.003299043,2.18E-09,15.01378942,15.75517677
1.67E-08,3731.296874,0.008702117,1.40E-08,15.29888914,16.17884702
4.64E-08,4981.749232,4.09E-09,2.03E-08,15.70897181,16.43089877
1.12E-07,1766.58225,1.68E-09,8.39E-09,16.63274163,16.77735345
4.43E-08,4438.249061,0.002810944,1.30E-08,16.37256772,17.32584487
4.56E-08,0.071089967,1.34E-08,0.016007857,17.34672058,17.58709479
2.92E-08,0.207778931,3.74E-09,0.017643332,17.78791371,17.44320851
5.13E-08,4265.608525,0.003083685,2.95E-09,17.4313518,17.76816373
8.52E-09,3463.409613,6.65E-09,0.015152362,17.98514568,18.2530795
4.93E-08,1592.579216,1.51E-09,0.012623698,18.42309565,17.83506573
8.16E-09,1583.218824,6.10E-05,0.016845679,18.6852132,17.33558017
4.04E-08,5118.0656,0.002149721,1.23E-08,18.34017694,17.58166191
5.76E-08,115.2151107,0.015464758,0.003474476,18.82611141,17.89890834
2.04E-08,4666.908693,0.006795158,1.39E-08,18.73196881,18.29936989
1.10E-07,3071.528598,2.49E-09,1.09E-08,21.4954419,19.06760343
3.70E-08,5154.976884,0.00300924,1.46E-08,19.51571282,21.06314715
6.35E-08,808.169065,0.000739768,0.010574401,20.71432093,22.25595292
5.69E-10,711.2936749,0.006149227,0.014923829,21.54550178,22.68523778
9.36E-09,4077.834877,0.013554138,6.13E-09,21.23162353,22.85583978
1.73E-08,5666.507683,0.008448462,1.46E-08,21.64904008,23.02534109
4.66E-08,2679.195959,4.50E-09,0.011664984,22.8354613,23.9508953
2.85E-08,6674.048219,0.00517081,8.94E-09,22.69614273,24.39180937
1.06E-07,7281.664141,1.05E-08,4.38E-09,28.01278273,24.72047704
8.51E-09,6640.392437,1.20E-08,0.013882489,24.11884977,24.82826704
4.62E-08,7953.723639,6.92E-07,1.34E-05,24.19113562,24.73878588
4.81E-08,2123.925569,5.80E-09,0.0121516,25.6610802,24.53341011
3.50E-08,3661.913707,0.012070943,6.60E-09,25.33073587,24.27351132
7.06E-08,5122.600637,6.25E-09,0,26.05484625,24.02943672
1.04E-07,4.60E-06,0.008391579,0,26.94616113,23.81768407
3.44E-08,817.3422885,0.02151333,0.000795387,26.18515154,23.57564558
3.29E-08,6271.062414,0.004185142,5.85E-09,25.79874515,23.29290922
4.48E-08,3982.837428,0.005900723,0.000621233,26.25040382,23.94033979
8.23E-09,202.7523694,0.026999296,0.002016755,26.75961834,25.21747819
3.96E-08,890.93238,0.018994011,0.000272569,27.35637367,27.73151998
8.37E-09,556.8675604,0.027106803,0.001063217,28.21444618,32.39220766
1.80E-08,10.28103402,0.022500615,0.005208652,29.6015596,33.86709081
8.15E-09,5760.788457,0.012457992,4.12E-09,29.69747229,34.59260306
0,0,0,2.776358913,NaN,11.08467291
2.01E-08,219.8609234,0.007201978,0.024319895,11.29479667,11.29485826
1.25E-07,3917.130712,6.04E-10,2.74E-08,11.55399752,11.51935514
9.59E-08,2833.966052,5.52E-09,5.25E-09,11.64484165,11.53952101
1.75E-08,1841.504381,0.000326115,0.002640195,11.56526719,11.43989389
1.06E-08,510.1920731,0.001124255,0.001621487,11.47065746,11.29820296
6.09E-09,1355.849468,3.46E-09,1.23E-08,11.52872264,11.46351135
6.74E-09,3037.096452,7.78E-09,1.53E-05,11.81048628,11.90966692
6.18E-08,2113.536725,1.12E-06,9.36E-09,12.07939631,12.29719176
8.45E-08,1003.242674,2.16E-08,1.03E-05,12.16269935,12.15129867
1.74E-08,113.6952746,0.000105123,0.011445649,12.10579372,11.84702188
1.43E-09,172.5166592,0.003448239,0.005322058,11.93072281,11.32124456
-1.27E-09,0,-1.27E-08,0.004815564,11.7229395,11.04025158
5.52E-10,37.34009871,0.00082239,0.00085239,11.60070215,11.14918497
3.06E-09,1472.607603,5.75E-08,7.02E-08,11.90213889,11.81502638
9.37E-09,1808.991633,5.94E-10,1.22E-08,12.11220776,12.41532424
5.67E-08,198.5988972,1.18E-07,1.26E-09,12.21740556,12.8232123
3.71E-08,1800.0835,3.94E-09,0,12.59925291,13.06129263
1.19E-08,2854.905112,1.79E-05,5.14E-09,12.75323187,12.99244101
1.06E-08,1001.962595,6.62E-05,0.005897132,12.64482802,12.74612824
1.16E-08,179.3621167,4.59E-05,0.008747828,12.68105242,12.3897706
1.39E-08,254.8693914,4.34E-05,0.007384419,12.68626287,12.33828248
2.73E-08,599.5578226,0.001328903,0.001862713,12.71098054,12.51801512
1.56E-08,589.2357538,0.002510646,0.002265628,12.72733812,12.45194175
7.17E-09,666.4781542,0.003207186,0.001830789,12.71205944,12.27357277
2.62E-08,1605.238806,1.07E-08,2.02E-08,13.03457482,12.70624645
9.98E-09,2191.707243,5.01E-09,1.55E-09,13.10484907,13.10993929
4.52E-09,2.226855204,0.007271122,0.00210911,12.93768349,12.90155998
2.74E-10,560.7688109,0.00482417,0.001530442,12.91871079,12.4074388
2.95E-08,1716.062036,2.69E-09,7.08E-09,13.42422443,12.78279011
1.82E-08,2201.07322,4.96E-10,1.49E-08,13.53277416,13.62630287
9.23E-09,128.5357393,8.01E-05,0.007411091,13.3034443,13.97848777
2.69E-08,0.902244598,1.22E-08,0.005823545,13.45526205,13.90660606
2.07E-08,992.2730862,0.002374332,7.44E-05,13.55229654,13.99191656
3.70E-08,1913.103881,9.40E-09,5.24E-09,14.21126658,13.66083033
3.66E-08,1326.225693,9.78E-09,4.18E-09,13.95545335,12.91698129
2.55E-08,1225.958318,1.29E-06,1.10E-08,13.68815761,12.64050899
1.54E-08,237.4731357,0.005043635,0.000788012,13.58429879,13.02634441
2.24E-09,274.5536929,0.007676199,0.000130365,13.62117523,13.35569728
2.23E-08,1136.081634,6.38E-09,6.89E-09,13.74752445,13.84119514
1.81E-08,1946.387985,5.58E-09,2.43E-09,14.22175751,14.45902568
1.47E-08,2494.038407,1.39E-08,1.09E-08,14.54043547,14.65380704
2.04E-08,2216.785314,5.53E-09,1.46E-08,14.63740645,14.35953319
1.05E-10,142.147032,0.004510586,0.004703321,14.16911118,13.83950965
4.25E-09,1107.318295,0.002133135,0.001610592,14.1447696,13.66076998
7.84E-09,252.9487859,0.006895438,0.000444031,14.20211573,13.83893194
4.13E-09,1052.066036,0.001092979,0.002818992,14.24925599,14.22939565
6.60E-11,911.2419331,0.002360941,0.002958103,14.34143104,14.46827873
2.98E-08,1659.481496,7.02E-09,1.06E-08,15.06921088,14.62401034
8.39E-09,396.0117116,0.002016464,0.004267417,14.55795884,14.70556837
1.56E-08,1028.505027,0.000257645,0.001958989,14.61588709,14.80194207
1.82E-08,339.519863,0.000784471,0.004179116,14.77553473,15.09235198
8.55E-10,451.7138174,0.007920996,2.63E-05,14.86019603,15.25373119
2.49E-09,319.0936518,8.06E-06,0.007242927,15.05506135,15.24740948
3.29E-08,1830.505839,6.75E-10,1.13E-08,15.91536071,14.65088361
1.82E-08,712.9474418,0.001200481,0.001961525,15.01210131,14.00395448
3.19E-08,1406.447669,1.33E-08,3.81E-09,15.6669898,14.13605242
8.27E-09,629.1424459,0.003386126,0.001445543,15.00154365,14.00883642
9.94E-09,1218.363993,3.94E-05,0.001580104,14.98538449,14.32845924
1.56E-08,1291.579311,5.08E-09,1.08E-07,15.0673769,14.78938761
9.25E-09,542.3115403,0.00376767,0.001164309,15.1790747,15.57764104
3.28E-08,1567.654697,9.15E-09,2.10E-09,16.28737136,16.10694964
5.05E-09,350.5015837,0.00437411,0.002599914,15.47795557,16.39685458
1.11E-08,140.7824409,0.003331291,0.003634916,15.67555638,16.68585614
3.42E-08,2382.756674,1.45E-08,2.95E-09,17.43015139,16.90046653
5.86E-09,161.2853371,3.20E-05,0.006964204,16.11736535,16.92007238
1.03E-08,82.26137406,1.07E-05,0.006727276,16.2760444,16.83515976
8.56E-09,2513.274667,2.88E-09,8.28E-09,16.57433378,16.87837968
4.62E-09,2635.662095,4.22E-10,4.85E-09,16.58685893,17.18564603
3.49E-08,2566.46666,5.47E-09,9.90E-10,18.31900598,17.55330849
2.95E-08,1915.198497,4.26E-09,1.22E-08,17.57058595,18.05812143
3.34E-08,1756.526052,5.72E-09,1.17E-08,17.82248052,18.40097341
1.39E-08,2521.898787,9.52E-09,3.08E-08,17.4785351,18.8924254
6.20E-09,126.754629,1.28E-08,0.007962154,17.80765564,19.16954242
9.02E-09,498.8325313,1.13E-08,0.007164981,17.99229171,19.94701606
3.72E-08,3349.776311,1.93E-09,4.53E-09,20.19215181,21.1077263
2.26E-09,81.66803446,4.62E-09,0.009137328,19.05839819,21.55601787
1.92E-09,2755.508988,0.002056402,1.07E-08,18.47568784,21.38407876
3.33E-08,1683.306724,1.00E-08,1.24E-08,19.03546735,20.97107398
6.63E-09,1365.063775,1.47E-08,0.007089355,19.49090005,20.77016126
3.54E-08,59.30912083,1.33E-08,0.005923046,20.0704369,20.73376084
1.37E-08,150.3336159,1.48E-08,0.00845746,20.56091066,20.65022268
1.46E-09,1412.982197,8.18E-09,0.007899533,20.24153481,20.69179816
5.52E-08,3.565090998,1.53E-10,0.002834599,20.72209659,20.92317543
1.82E-08,76.92715917,1.02E-08,0.008033894,21.19562756,21.17936196
1.92E-09,102.8723399,6.89E-09,0.009488267,21.59552613,21.68685616
0,0,0,2.951108176,NaN,15.22062566
9.86E-08,3053.494868,0.00036898,0.00095985,15.5001547,15.50010959
1.17E-07,3913.101399,2.86E-08,7.26E-09,15.83416532,15.77274095
7.77E-08,2534.556748,1.44E-08,2.31E-07,15.89061143,15.73967325
9.60E-08,2577.072594,3.44E-09,8.16E-09,16.18390048,16.15880202
6.09E-08,2232.080542,0.0128289,4.59E-05,16.61679641,16.86738009
5.92E-08,6712.469526,7.62E-10,1.18E-08,17.24005747,17.36155731
7.75E-08,330.1254385,6.99E-08,0.023269073,17.50448323,17.43089022
4.03E-08,3906.80342,0.011891358,1.43E-06,17.80962726,17.76966779
9.96E-08,4506.56883,1.86E-07,3.83E-08,18.24449967,18.0373853
5.24E-08,4762.816775,0.000238309,0.002098802,18.31106511,17.99949018
