Cycle,TMP,Kb,Ki,Kc,Ks,y_pred
28,7.71450649,0,0,0,2.53953969,NaN
28,7.743265765,2.15E-08,529.6358454,0.000432079,0.000202641,7.743308839
28,7.873815948,7.81E-08,2092.434905,1.42E-08,1.18E-08,7.878621244
28,7.461021686,-1.59E-08,-0.029619286,-0.01382392,0.000514834,7.60517064
28,7.200863931,-1.43E-07,-1679.369972,-0.000280601,8.19E-05,7.344172393
28,7.307533959,-8.71E-08,-821.5192346,-0.012356314,0.001200842,7.264491539
28,7.276386298,-2.10E-08,-193.177477,-0.016572242,9.26E-09,7.273346332
28,7.015706044,-1.03E-08,-60.43594419,-0.023549389,1.78E-07,7.117422237
28,7.075403864,-3.93E-08,-382.4835591,-0.018490393,0.000130505,7.008975558
28,7.508480274,-1.90E-08,-132.9904952,-0.005370918,6.76E-09,7.262579099
28,7.73935269,7.90E-11,42.28541764,5.84E-09,1.95E-09,7.451962771
28,7.688221979,-2.52E-09,-96.19687665,-0.000564306,4.32E-09,7.435520276
28,7.317694607,-2.88E-08,-14.26135713,-0.008059704,0.007612211,7.342352415
28,7.132069105,-4.06E-08,-1191.951266,-0.011125432,0.016049248,7.294618685
28,7.25521834,-3.72E-08,-943.107572,-0.008119245,0.011955569,7.264107295
28,7.370009078,-5.49E-09,-398.6801688,-0.005665115,0.003075673,7.258429202
28,7.359900733,-2.25E-08,-726.1146614,-0.005492057,0.007812538,7.272298835
28,7.050334884,-5.42E-08,-694.7246682,-0.009885354,0.014702308,7.228704432
28,7.216376529,-5.61E-09,-293.2284146,-0.006136741,0.002787137,7.188794386
28,7.651600305,-2.08E-09,-0.246909627,-0.000812265,1.47E-08,7.356835726
28,7.462453626,-9.21E-09,-498.5932775,-0.003138481,0.004193071,7.286880661
28,7.413213874,-1.90E-08,-18.47702166,-0.003571443,0.003974814,7.294687433
28,7.937054954,2.19E-09,0.968994141,5.57E-09,0,7.440464395
28,8.06397136,1.04E-08,477.6470495,1.09E-08,6.17E-09,7.648754883
28,7.639756272,-3.99E-09,-101.6232761,-0.000772757,0.003330099,7.526945669
28,7.402069439,-1.28E-08,-409.6166393,-0.003154974,0.007977032,7.535039246
28,7.203135806,-1.25E-08,-1.663843663,-0.005040114,0.007132304,7.48354735
28,7.290761947,-2.16E-08,-596.9814928,-0.004003282,0.009574547,7.478760629
28,7.649697072,-6.43E-10,-9.670420705,-0.000577201,0.001190884,7.474055833
28,7.722820528,3.40E-10,2.068754045,2.72E-09,0.000815171,7.506721157
28,7.541318394,-5.98E-10,-157.2979314,-0.001453239,0.003245107,7.519752387
28,7.592619102,-5.54E-10,-26.59740514,-0.000916741,0.002131345,7.526794378
28,7.760785225,1.94E-09,39.42261227,3.39E-05,0.000789141,7.558053885
28,7.787525616,1.47E-09,75.57615348,5.29E-05,0.000969207,7.591053028
28,7.768861744,1.23E-09,9.84E-09,8.84E-10,0.001669138,7.616919679
28,7.754977134,1.68E-09,23.57576016,1.08E-08,0.001648363,7.641287346
28,7.676626362,-7.19E-11,-18.97902472,-0.000263949,0.002406913,7.652480906
28,7.656974645,-1.22E-09,-53.84399792,-0.000313652,0.002783004,7.660756332
28,7.927876166,6.57E-09,220.4516798,2.58E-07,7.69E-08,7.693541146
28,8.243596801,1.64E-09,468.8596474,1.01E-05,2.62E-08,7.756025955
28,8.292204758,2.54E-09,409.6094427,0.000624096,1.13E-05,7.816903286
28,8.423212536,1.25E-08,727.1787851,4.89E-09,2.38E-09,8.072721975
28,8.592261043,1.14E-08,269.9508107,0.000961718,1.43E-05,7.971250669
28,8.676947865,2.71E-08,862.2372699,8.68E-09,9.05E-09,8.450411322
28,8.566024329,2.25E-08,823.7154574,1.78E-09,1.45E-08,8.396577566
28,8.69491316,1.23E-08,913.6423928,1.27E-08,1.16E-08,8.305757658
28,8.825712702,3.59E-10,170.560317,1.33E-08,0.004997936,8.310847581
28,8.589030915,8.55E-10,210.5588466,1.07E-08,0.004900456,8.360422307
28,8.292194469,2.49E-09,179.0600496,4.55E-09,0.004721917,8.380907304
28,8.243333563,1.20E-09,9.832437441,5.63E-09,0.005491374,8.413004801
28,8.207206172,1.23E-08,416.1608926,0.001742451,1.26E-08,8.376453009
28,8.315466711,2.32E-09,1.055598244,3.01E-09,0.005183712,8.439530977
28,8.491928522,1.51E-08,560.394057,0.000457201,2.76E-09,8.429662682
28,8.531060224,3.14E-09,2.88E-05,2.88E-06,0.005084156,8.504095725
28,8.328394268,6.72E-09,340.5962701,3.16E-09,0.003074289,8.487252864
28,8.154443052,4.50E-09,24.23697522,3.86E-10,0.004568455,8.511061742
28,8.1714316,1.07E-09,306.7063815,5.42E-05,0.00372112,8.486976369
28,8.338097816,9.74E-10,28.68723064,1.22E-08,0.004915582,8.544063214
28,8.369735382,2.26E-09,331.2366506,3.21E-06,0.003341445,8.508515025
28,8.361486175,1.21E-08,437.2933707,0.001028141,1.97E-05,8.517054737
28,8.299977261,6.34E-10,285.4696577,0.000100323,0.003546823,8.535254672
28,8.07690253,7.09E-09,247.7006371,0.000116836,0.002522847,8.522748311
28,7.954256707,2.61E-09,33.98796027,0.000165427,0.003842333,8.521731208
28,8.100020842,2.50E-09,107.4311668,0.001288755,0.002479883,8.502572335
28,8.353543361,2.37E-09,248.5953897,0.000689061,0.002354838,8.509839694
28,8.538674569,2.41E-09,539.0702004,0.001523132,1.64E-05,8.52299014
28,8.700012719,1.78E-08,537.9457437,1.30E-08,1.07E-08,8.728380859
28,8.761421035,3.67E-09,672.0436956,0.000678165,9.94E-05,8.584500448
28,8.571725787,1.74E-09,502.070934,0.001744107,0.000235687,8.60769417
28,8.563684534,3.88E-09,75.67682716,0.000464548,0.003095212,8.645172113
28,8.753647547,5.42E-09,48.89948819,0.002267139,0.001470087,8.663344981
28,8.693133868,4.20E-10,6.178243294,0.001468579,0.003077831,8.702266055
28,8.278946187,7.82E-09,215.0723128,0.00186501,0.000487194,8.682210409
28,8.632456849,5.85E-09,401.217503,0.001380175,0.000286366,8.694263608
28,9.517411659,5.85E-09,417.4984487,0.001715895,5.63E-05,8.761966427
28,9.602119768,1.42E-08,767.2394637,1.12E-08,9.62E-09,9.041104401
28,8.854740664,5.02E-10,232.1919742,1.23E-07,0.003603836,8.877693954
28,8.716719088,2.43E-10,158.4525902,0.00012176,0.003769146,8.900679323
28,8.9591004,8.42E-09,674.6460855,0.000203702,1.43E-08,8.894961556
28,8.732529379,1.04E-08,446.6735711,0.000900627,3.53E-05,8.912824468
28,8.439198767,1.58E-09,18.75698077,0.000235265,0.003860197,8.952339219
28,8.553057086,5.80E-11,124.7642161,0.000584084,0.003338331,8.938063815
28,8.986460408,1.70E-09,240.6268268,0.00226972,0.001142672,8.940182195
28,9.10824549,4.72E-10,648.8700389,0.001487883,5.80E-05,8.959097086
28,8.974326707,1.72E-09,329.8677232,0.000638631,0.002277561,8.995296999
28,8.888066533,7.98E-09,553.3083093,0.000621021,3.74E-05,9.005638774
28,9.161432429,2.10E-08,223.853239,6.42E-09,0,9.079042299
28,9.430888302,4.50E-09,318.9167371,0.001138104,0.001472419,9.083036146
28,9.744789481,8.40E-10,640.5749528,0.001642442,5.35E-05,9.1221267
28,9.760305893,1.11E-08,232.6109115,1.12E-09,0.002008524,9.206851828
28,9.169580492,1.22E-08,305.9534445,0.001428124,3.77E-05,9.220159244
28,8.946051325,7.61E-09,279.3951718,1.87E-05,0.002311776,9.237774195
28,9.665536909,3.35E-09,867.2954898,0.000351025,3.49E-08,9.247389117
28,10.31402648,2.39E-08,1082.847274,7.16E-11,4.45E-09,10.2691325
28,10.09666776,4.37E-09,442.8679143,0.000182869,0.00234029,9.406066782
28,9.886257776,2.00E-08,203.4069648,1.57E-05,0.000871474,9.487436981
28,9.89561897,8.32E-09,722.1239781,0.000549769,2.17E-08,9.490169699
28,9.8639317,2.97E-09,953.1446673,0.000539852,1.57E-08,9.515861489
28,9.95406049,1.43E-08,820.0060605,2.44E-09,3.43E-09,9.791003198
28,10.64269452,4.38E-09,944.965296,0.000517355,7.00E-08,9.634758216
28,11.22599872,9.55E-09,13.36708612,5.00E-09,0.003717676,9.870103296
28,11.26712213,1.15E-08,172.495167,1.46E-08,0.003097197,9.940991569
28,11.15856047,6.74E-09,0.996454835,5.14E-10,0.004368767,10.11054984
28,11.14798678,2.23E-10,1097.892749,0.001492257,4.15E-09,10.0249501
28,11.51966667,1.84E-08,0,4.17E-06,0.003191278,10.33647471
28,12.25870604,1.72E-08,418.7124202,1.16E-08,0.001964242,10.35196737
28,12.72326303,1.95E-09,61.36141555,9.19E-11,0.005348146,10.6911744
28,13.49067794,1.16E-08,2.667265522,8.22E-09,0.004799276,10.96711147
28,14.82293595,1.09E-08,2552.580597,7.76E-09,1.47E-08,11.60214551
28,15.70159086,1.35E-08,752.0468803,2.88E-09,0.003050328,11.19199075
28,16.26667564,2.21E-09,102.4750573,6.69E-09,0.006489295,11.9949221
28,16.911441,1.20E-08,359.8223742,3.37E-09,0.005392707,12.19099707
28,17.3505529,8.10E-09,696.2903167,9.62E-10,0.005749183,12.54466423
28,18.05776971,2.31E-09,603.3875294,1.34E-09,0.006963315,13.19356592
28,18.9773764,1.70E-08,3832.328582,1.13E-08,4.69E-09,13.56016059
28,19.34508333,6.00E-10,28.27308573,7.17E-09,0.008433347,14.97750746
28,20.07372395,4.20E-08,360.0078792,7.63E-09,0.002996225,14.50534744
28,21.5101059,5.74E-08,1481.554599,7.96E-09,1.31E-08,17.46258026
28,22.29315098,4.20E-08,5247.059677,4.69E-09,1.25E-08,17.44199452
28,22.81455264,1.22E-08,3153.310664,1.19E-08,0.007145048,16.41076777
28,22.96060512,5.57E-09,817.161848,8.56E-09,0.00904786,18.42030454
28,22.99040135,2.01E-09,1206.304933,1.33E-08,0.009476401,19.24634736
